昵称,地区,性别,粉丝数,用户发布微博数量,评论
cynthia0628,海外 英国,女,543,3277,棒子一堆没见过世面的，是相当于非洲去到纽约！
西瓜籽0_0,上海,男,128,3561,上海内环的物价还是赶不上首尔吧。一碗面二十来块能吃饱的。
吃吃喝喝娱乐,其他,男,22,214,说反了
Celia洁summer,其他,女,102,246,开玩笑吧
让我来撕碎这个脏玩意,其他,男,12,6,并不是，上海发达程度可比首尔好
Joney_咸魚,福建 厦门,男,368,1570,"你是有多无聊发一个这个来微博找骂的<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
成都普大大,四川 成都,男,53,0,不愧是娱乐博主，感觉你真有可能不是故意的，就是脑袋构造绝对跟正常人不同。
我是没有脚的鸟,云南,女,1,102,你是真没见过世面
奔波波波波儿儿儿灞,其他,男,341,831,贱不贱呐，别人没吃过细糠，你是牵绳那个，麻烦你自己别蹲电线杆边上撒尿行吗？尊重一下你自己的身份
十个大海,江西 南昌,女,93,399,"是有多不自信<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
uffjkgxfkj,北京,女,4,138,"上海旅游消费比首尔贵<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />"
Xavier-吴道翔,北京,男,12807,1419,我发现好多人连话都听不明白就在这喷，没说上海不如首尔，说的是韩国的工资拿来中国花就是比在韩国花物价低
Z-Liberal,江苏 南京,男,184,244,韩国人自己知道吗
Orangewhale,湖北 武汉,男,891,660,"回复<a href=/n/就这样OVER了 usercard=""name=@就这样OVER了"">@就这样OVER了</a>:滚一边去，相当于河北县里来北京差不多"
YOLO女孩,山东 济南,女,105,3390,上海比韩国好多了
Yolo-lp,上海,女,201,1230,"你是觉得168一个面包算东南亚物价吗<img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" />"
无相之喵,山东 潍坊,男,6,9,"乖，西瓜皮留给你吃<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />"
YAOGEV5,湖北 武汉,男,238,74,2B
不想倒霉的小星子,四川 成都,男,16,90,"哈哈哈哈哈，韩国我去过，很震撼，耍完后悔惨了，啥子破烂地方<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
Dylan_LZH,北京,女,348,6657,"谢谢，你已经气到我了<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
灯竹火灭,广东 广州,女,142,2011,上海大部分白领的工资比首尔那旮旯高多了，别问我怎么知道的，我有韩国前同事
洪贰石,其他,男,70,1218,"粗糠可以少吃点<img alt=""[偷笑]"" title=""[偷笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/71/2018new_touxiao_org.png"" />"
绿水长流不了情,山东 济南,男,56,212,站起来吧
黄浦区遛弯老大爷,北京 西城区,男,77,50,好家伙！岂不是你看见美国流浪汉你还得叫爸爸
-Lucian_,山西,男,330,1745,你纯狗儿子
JokerKaing,海外,男,83,520,东南亚？你出过国吗？
氰化物超标,江苏,男,122,3065,"只赞同是新加坡<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
捣蛋导弹,湖北 武汉,男,456,2364,应该是相当于我们去东京纽约
抡大锤的艺术,上海 浦东新区,女,95,1426,仅物价
潘卫09,云南,男,3,9,上海是东南亚！你咋不说缅甸
落魄山谱牒仙师,北京,男,2,74,属于是拜高踩低了，越没见识越是贱兮兮
Nil9y_,其他,女,3,60,神如经
夜晚的月亮sunset,江苏,男,90,1148,"粉红破防<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />，谁愿意给无产阶级发更高工资，是显而易见的。"
甜橙奈可乐,海外,女,2425,738,不会啊 韩国人跟中国人 就像狗跟你
哎唉唉哦哦,上海,女,2,0,活该挨骂
王伯伯88,上海,男,7,6,"你是没去过韩国吗？他们多破知道吗？是我们去那里，像东南亚！<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
三千鸦67571,其他,男,7,206,"哈哈哈哈东南亚可比不上上海<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
滚圆的西瓜12,浙江 台州,女,334,2332,你有病啊，拿上海和东南亚比
会成功的啦,其他,女,1,63,风了吧
小菜北漂记,其他,女,6,64,东南亚也有发展好的好吧
万花谷假发兜售商人,福建,女,4,825,进城才对
今夜请将我遗忘88,其他,男,38,80,"这列子举的<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
淨雨de鹽澀,广西 梧州,男,64,309,"逆天比喻，去过韩国吗<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
2024不要发烧,其他,男,4,24,我们村新人结婚的时候，新郎也会带着小姑娘去市区逛逛的，见见世面看看繁华地段
幸好自己驾校好喜欢好,其他,男,3,281,"反了<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
小沙小沙富贵开花,吉林,女,103,7,"一个老破韩国有啥高级的啊<img alt=""[淡淡的]"" title=""[淡淡的]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7b/2024_takearest_org.png"" /><img alt=""[淡淡的]"" title=""[淡淡的]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7b/2024_takearest_org.png"" />"
草帽海贼团奈奈酱,安徽,女,263,138,你说这句话，相当于给狗当狗
一只曲奇小饼干,其他,女,36,1817,屁股歪的都快成异形了吧
今天不在线CUCU,其他,女,8,6,你别开玩笑！
给我背一遍圆周率,其他,男,749,10807,你像个东南亚
胡说八道可不是正能量,其他,男,15,22,"回复<a href=/n/我有点小贱 usercard=""name=@我有点小贱"">@我有点小贱</a>:这就有点夸张了，首尔还是不错的"
踏碎玻璃鞋yi,广东,女,87,367,你說反啦，類似東南亞國家去美國，你還真看不起自己國家
繁星e漫天,北京,女,678,3017,韩国人见过啥吃过啥，一群抱着一堆钱买不来啥好东西的穷棒子
Uranium-WSK,上海 卢湾区,男,239,1609,"河北人来了顶多算是乡下人，韩国人那就是劣等人种，搞搞清楚<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
魅力大天使拉斐尔,其他,男,12,22,这博主跟谁咱呢。别说韩国整个国家，就是首尔能比得上上海？
弱水澜沧,其他,女,9,215,"你在说什么，我在新加坡，现在回家都感觉像进城一样，更别说韩国了，韩国甚至不如新加坡<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
小聪明小馋猫哈哈哈佛嗝,海外,女,265,11077,你是土狗吧
不暴富了小富就行,河南 驻马店,女,272,679,这TM不得不骂了
Super7upupup,其他,女,4,28,物价上来说，是比韩国便宜许多。但来找不到优越感吧。毕竟咱国内旅行又大又美又划算
后腰08,其他,男,7,1773,尼玛撕了
L----1485,其他,女,57,600,你这黑的水平也太低级了
蕚木韡韡,上海,男,408,3513,相当于安徽人去上海
大大大大大撒子,上海,男,385,925,"土鳖<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
kmaopty,上海 浦东新区,男,3,12,"你看你就没去过韩国……我去的首尔感觉最多算个破镇<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
iso90099,云南 昆明,男,405,662,韩国对你免签么 咋们朋友不是很多么
tttimid---,其他,女,105,10896,哈？……你确定没打反？
蒜瓣的一生,重庆 南岸区,女,93,216,放屁，你家东南亚能和上海比
熏不熏也熏,北京 海淀区,女,168,2211,相当于去维也纳吧
真是一只橘机,其他,男,28,140,他类比的应该是收入和物价…
猛猛瓜,四川 成都,女,40,321,看来你是真没去过韩国
我很开心不想哭,其他,男,42,43,"韩国首尔那屁大点地方还不如我们三线小县城<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
fun-233,河南,女,2248,1549,张家口还是张家界 他们不是爱去那吗
芸豆精,辽宁 大连,男,221,24,起来吧，膝盖都是灰
Vincy茜茜-,其他,女,2,144,那倒不至于，韩国真的是又小又破。城市基础设施建设很一般。比不上上海
竹竿上的小绿叶,其他,女,36,198,上海的物价你说东南亚？
清空蜗牛,河北 邢台,女,110,1863,相当于县城里的人到北京
2005xyz,其他,男,36,1018,他们明明是农村来镇上赶集，当我们没去过他们那个破岛吗？吃的东西又贵又难吃，品种还特别少，既没有自然风光，人文也很简陋，比上海更破的渔村
枫海香,河南,男,26,119,相当于台湾人来大陆。
瞎扯淡侠,江苏,男,55,911,评论区都是些什么啊？？？看不懂博主的意思嘛，人家说的是消费水平，一群人理解成啥了？
llanllyang,其他,女,4,193,"<img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" /><img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" />无话可说"
阳yang2003,辽宁,女,397,4342,"韩国人到中国旅行，相当于老农民进城 啥都新奇<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
不许烦我QAQ,其他,女,1307,150,"你自卑别带上我吗<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />"
大叔ai小朋友,浙江 嘉兴,男,407,1022,"棒子那么自信？几个新一线拉出来都秒掉他了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
幽人052888888,北京,女,145,3521,你是韩吹吗
牡丹欧,吉林 长春,男,16,26,你是棒子吧
有荆棘的地狱,广东,男,7,4,低能儿
香菇稣,北京 顺义区,女,279,816,这么自卑看不起自己。你是没去过韩国吧逗死我了
叽努小漂亮,其他,女,66,846,你膝盖骨就这么软吗？跪久了就起不来了
博士上岸,四川,女,4,351,智障发言 建议看书 xuexi
锦鲤是余吗,其他,男,2,24,明明是村里人进城了
海那个角,湖北,男,213050,18838,视频来源 
海那个角,湖北,男,213050,18838,免签热，下班了就来
玄德师叔,湖南,男,5595531,12942,"<img alt=""[哆啦A梦开心]"" title=""[哆啦A梦开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/df/dora_kaixin_org.png"" /><img alt=""[哆啦A梦开心]"" title=""[哆啦A梦开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/df/dora_kaixin_org.png"" />-falegefa"
微博旅行家,北京,男,809260,11941,"冬日旅行精彩不停，快加入<a href=""//s.weibo.com/weibo?q=%23%E5%BE%AE%E5%8D%9A%E6%97%85%E8%A1%8C%E5%AE%B6%23"" target=""_blank"">#微博旅行家#</a>分享你的旅行体验。添加<a href=""//s.weibo.com/weibo?q=%23%E5%BE%AE%E5%8D%9A%E6%97%85%E8%A1%8C%E5%AE%B6%23"" target=""_blank"">#微博旅行家#</a>话题词将有机会获得曝光资源、红包惊喜！了解更多戳&gt;&gt; <a target=""_blank"" href=""https://m.weibo.cn/c/wbox?id=9d1inpvbc1&outid=60f50600c81713436020&src=by1""><img class=""icon-link"" title=""http://t.cn/A6HVQi2d"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""/>网页链接</a>"
乃甜晴晴,山东,女,38067,5433,"<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />"
茄子乐乐WasteMaster,北京 东城区,男,12798,3197,打一个响指就可以一切暂停三年哦，别太得瑟了。要注意：大部分人高兴的事情，是要暂停的。
拈砖微笑9527,其他,男,262,4281,"算了吧，论国际化上海还能比首尔更便捷<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />"
20n_wbxs,北京,男,20,248,原因是缺外汇了呗
繁琐复杂冗长,福建 福州,男,72,154,首尔城建可能不如上海，但国际化程度是好过上海的。
晶兽,其他,女,265,1,很好！多开发点儿新花样好好赚他们钱
禾心惠,北京,女,288,1152,"“我喜欢中国人，我发现他们的思想非常开放”<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />"
息衍0080,辽宁,男,19,112,开放？这可不是啥好词，还是别来了
张太太0321,上海 杨浦区,女,276,3017,对他们的工资来说上海可太便宜了
我的小甜心公主3号,江西,女,75,2821,上海有啥好玩的
直呼内行0178,广东,男,0,70,特种兵一样
曦瑶_1688,浙江 衢州,女,1053,10122,"喜欢上海人确实是很小众的赛道<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />"
哲维wise,其他,男,100,653,韩国这么多人有双休？
到點犯困Zz,山西,女,3111,1695,"你去<img alt=""[拜拜]"" title=""[拜拜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/2018new_baibai_org.png"" />"
Yimex,其他,女,1,13,哇哪个学校呀，签约干啥
Yin909,上海 浦东新区,男,132,221,週末不加班確實比不了
十样锦绣团花,其他,女,55,1600,"好好好欢迎多来上海消费，多花钱我们支持<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />"
十一十200312,其他,男,6,4,没免签时青岛就遍地韩国人了，外卖都是中韩双语。
食纸生物,河北 石家庄,男,9,22,"经济疲软或成为全球化有力推手<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
锦里尘烟外,其他,男,25,79,韩国哪大农村来上海看看发展建设长长眼光也不错
gsmsmhj,其他,男,20,838,韩国男生挺会穿的，舒适自然
昂山18号的黄啤店,内蒙古 呼伦贝尔,女,2,1,驱逐
用户5349151557,其他,男,8,4372,"<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />"
流水向西_,其他,男,147,1,历史遗迹上海，韩客你好骚，游赏豫园外，尝海底捞热闹。
南禪寺琉璃堂三花貓,海外,男,162,6803,我在油管上看这些到上海的韓國人的行程高度一致，买什么吃什么都七八成相同。
依偎在被染黑的你身旁的我,其他,女,1187,3035,刚回家上班时间
依偎在被染黑的你身旁的我,其他,女,1187,3035,789464516
